
Bronx;11,05;7,25;24,52;17,73;34,61;25,3
Brooklyn;10,5;7,19;24,11;17,83;33,98;26,27
Bedford Stuyvesant (CD3);10,84;7,38;27,55;19,99;32,55;23,92
Bensonhurst (CD11);9,84;6,72;23,01;17,08;34,91;27,36
Brownsville (CD16);10,78;7,36;25,63;18,8;33,74;25,39
Bushwick (CD4);10,81;7,51;25,88;19,47;33,47;25,32
Central Harlem (CD10);11,55;7,5;31,17;21,72;31,8;21,56
Coney Island (CD13);9,43;6,53;18,41;13,63;37,9;30,59
Financial District (CD1);13,05;8,97;36,62;25,32;29,81;19,11
Fresh Meadows;10;6,55;22,78;17,34;33,38;25,43
Jackson Heights (CD3);10,26;6,88;25,64;19,09;33,72;25,51
Manhattan;12,63;8,46;33,89;23,43;30,3;20,44
Midtown (CD5);16,09;10,92;46,75;31,1;26,92;14,38
New York City;10,43;7;22,72;17;33,83;26
Port Richmond;10,22;6,78;21,35;16,77;33,42;24,42
Queens;10,05;6,82;22,19;17,18;34,5;26,85
Staten Island;9,81;6,4;16,84;12,92;35,17;26,72
Sunset Park (CD7);11,13;7,77;25,49;18,96;33,19;24,49
Willowbrook;10,1;6,63;17,49;13,57;34,68;26,04
